id_visitante,obra_visitada,tiempo_minutos,interes,edad,sala,obra_encoded,interes_encoded,cluster
1,Fotografía Histórica,16,Cultura,22,5,4,1,2
2,Cerámica Indígena,8,Arte,33,3,2,0,0
3,Arte Moderno,5,Cultura,36,5,1,1,0
4,Escultura Religiosa,13,Arte,52,2,3,0,1
5,Fotografía Histórica,2,Arte,36,5,4,0,0
6,Fotografía Histórica,18,Cultura,56,4,4,1,1
7,Fotografía Histórica,17,Cultura,61,6,4,1,1
8,Arte Moderno,13,Cultura,66,1,1,1,1
9,Arte Moderno,6,Cultura,21,5,1,1,2
10,Pintura Colonial,8,Arte,18,1,5,0,2
11,Fotografía Histórica,15,Arte,23,2,4,0,2
12,Cerámica Indígena,3,Cultura,21,4,2,1,2
13,Cerámica Indígena,9,Cultura,49,6,2,1,0
14,Pintura Colonial,5,Arte,54,4,5,0,1
15,Escultura Religiosa,7,Arte,56,4,3,0,1
16,Arquitectura Antigua,19,Arte,58,2,0,0,1
17,Escultura Religiosa,5,Arte,45,6,3,0,0
18,Fotografía Histórica,9,Historia,30,5,4,2,2
19,Escultura Religiosa,16,Historia,38,2,3,2,0
20,Pintura Colonial,14,Historia,43,5,5,2,0
21,Pintura Colonial,8,Historia,38,1,5,2,0
22,Fotografía Histórica,9,Cultura,25,3,4,1,2
23,Pintura Colonial,9,Cultura,49,1,5,1,0
24,Arte Moderno,6,Arte,53,2,1,0,1
25,Pintura Colonial,8,Historia,22,4,5,2,2
26,Escultura Religiosa,2,Cultura,37,6,3,1,0
27,Cerámica Indígena,4,Arte,41,3,2,0,0
28,Pintura Colonial,4,Historia,61,6,5,2,1
29,Arte Moderno,2,Historia,40,6,1,2,0
30,Arte Moderno,10,Cultura,29,2,1,1,2
31,Escultura Religiosa,14,Cultura,46,1,3,1,0
32,Fotografía Histórica,5,Arte,51,5,4,0,1
33,Arte Moderno,5,Historia,46,3,1,2,0
34,Arte Moderno,3,Arte,59,6,1,0,1
35,Pintura Colonial,7,Arte,25,2,5,0,2
36,Fotografía Histórica,8,Arte,47,1,4,0,0
37,Pintura Colonial,14,Historia,17,6,5,2,2
38,Arte Moderno,10,Arte,51,1,1,0,1
39,Arte Moderno,11,Cultura,68,1,1,1,1
40,Fotografía Histórica,18,Arte,63,2,4,0,1
41,Fotografía Histórica,13,Arte,53,2,4,0,1
42,Arte Moderno,18,Historia,63,1,1,2,1
43,Arte Moderno,18,Arte,16,4,1,0,2
44,Arquitectura Antigua,6,Historia,15,3,0,2,2
45,Arquitectura Antigua,3,Historia,58,2,0,2,1
46,Arquitectura Antigua,5,Cultura,25,3,0,1,2
47,Pintura Colonial,7,Historia,66,2,5,2,1
48,Arquitectura Antigua,12,Cultura,62,1,0,1,1
49,Pintura Colonial,7,Historia,17,4,5,2,2
50,Fotografía Histórica,5,Cultura,40,3,4,1,0
51,Arte Moderno,8,Historia,47,2,1,2,0
52,Pintura Colonial,12,Historia,39,2,5,2,0
53,Arquitectura Antigua,11,Cultura,21,4,0,1,2
54,Escultura Religiosa,17,Historia,66,4,3,2,1
55,Pintura Colonial,3,Historia,62,6,5,2,1
56,Fotografía Histórica,6,Historia,46,3,4,2,0
57,Pintura Colonial,10,Cultura,33,3,5,1,0
58,Fotografía Histórica,2,Cultura,63,4,4,1,1
59,Arquitectura Antigua,9,Arte,49,6,0,0,0
60,Pintura Colonial,4,Historia,43,2,5,2,0
61,Arquitectura Antigua,19,Arte,68,3,0,0,1
62,Cerámica Indígena,10,Historia,18,1,2,2,2
63,Arquitectura Antigua,17,Cultura,17,1,0,1,2
64,Pintura Colonial,17,Cultura,65,6,5,1,1
65,Arquitectura Antigua,15,Arte,52,6,0,0,1
66,Cerámica Indígena,9,Cultura,41,2,2,1,0
67,Cerámica Indígena,2,Cultura,47,5,2,1,0
68,Fotografía Histórica,17,Cultura,18,3,4,1,2
69,Pintura Colonial,18,Arte,43,6,5,0,0
70,Cerámica Indígena,7,Cultura,55,5,2,1,1
71,Cerámica Indígena,18,Arte,67,3,2,0,1
72,Fotografía Histórica,2,Cultura,35,1,4,1,0
73,Arte Moderno,19,Historia,56,6,1,2,1
74,Escultura Religiosa,4,Arte,38,2,3,0,0
75,Arquitectura Antigua,3,Cultura,41,2,0,1,0
76,Escultura Religiosa,18,Historia,23,3,3,2,2
77,Arquitectura Antigua,17,Cultura,43,2,0,1,0
78,Escultura Religiosa,4,Arte,39,5,3,0,0
79,Fotografía Histórica,8,Historia,50,5,4,2,0
80,Fotografía Histórica,2,Arte,30,6,4,0,2
81,Fotografía Histórica,16,Arte,16,6,4,0,2
82,Arte Moderno,18,Arte,20,6,1,0,2
83,Arte Moderno,6,Historia,22,5,1,2,2
84,Fotografía Histórica,13,Historia,53,4,4,2,1
85,Arquitectura Antigua,14,Arte,61,3,0,0,1
86,Fotografía Histórica,17,Historia,64,4,4,2,1
87,Escultura Religiosa,18,Cultura,33,4,3,1,0
88,Escultura Religiosa,6,Arte,67,6,3,0,1
89,Pintura Colonial,13,Historia,15,2,5,2,2
90,Escultura Religiosa,2,Cultura,48,6,3,1,0
91,Arquitectura Antigua,17,Historia,54,5,0,2,1
92,Cerámica Indígena,2,Historia,53,5,2,2,1
93,Arquitectura Antigua,4,Arte,30,3,0,0,2
94,Cerámica Indígena,15,Historia,61,1,2,2,1
95,Arquitectura Antigua,15,Arte,66,5,0,0,1
96,Fotografía Histórica,17,Arte,40,5,4,0,0
97,Fotografía Histórica,2,Arte,44,5,4,0,0
98,Escultura Religiosa,11,Arte,19,4,3,0,2
99,Escultura Religiosa,11,Arte,33,2,3,0,0
100,Pintura Colonial,6,Historia,18,2,5,2,2
101,Pintura Colonial,13,Arte,49,4,5,0,0
102,Pintura Colonial,2,Historia,65,3,5,2,1
103,Cerámica Indígena,13,Cultura,15,1,2,1,2
104,Escultura Religiosa,12,Historia,27,4,3,2,2
105,Arquitectura Antigua,3,Historia,65,2,0,2,1
106,Arte Moderno,18,Arte,22,5,1,0,2
107,Escultura Religiosa,11,Arte,48,3,3,0,0
108,Pintura Colonial,8,Arte,67,2,5,0,1
109,Cerámica Indígena,12,Historia,50,1,2,2,0
110,Cerámica Indígena,5,Arte,51,1,2,0,1
111,Arte Moderno,18,Cultura,62,4,1,1,1
112,Escultura Religiosa,18,Cultura,46,6,3,1,0
113,Cerámica Indígena,13,Historia,69,5,2,2,1
114,Pintura Colonial,4,Historia,44,1,5,2,0
115,Pintura Colonial,17,Historia,36,5,5,2,0
116,Arte Moderno,18,Historia,55,3,1,2,1
117,Fotografía Histórica,10,Cultura,42,6,4,1,0
118,Fotografía Histórica,16,Historia,19,3,4,2,2
119,Fotografía Histórica,5,Historia,37,1,4,2,0
120,Cerámica Indígena,11,Arte,53,6,2,0,1
121,Escultura Religiosa,6,Cultura,37,5,3,1,0
122,Arte Moderno,12,Arte,61,4,1,0,1
123,Pintura Colonial,11,Arte,58,1,5,0,1
124,Cerámica Indígena,7,Cultura,60,5,2,1,1
125,Escultura Religiosa,10,Arte,41,2,3,0,0
126,Escultura Religiosa,6,Historia,51,6,3,2,1
127,Arte Moderno,9,Historia,15,6,1,2,2
128,Fotografía Histórica,18,Cultura,21,1,4,1,2
129,Cerámica Indígena,5,Arte,45,3,2,0,0
130,Cerámica Indígena,13,Arte,53,3,2,0,1
131,Escultura Religiosa,8,Arte,17,5,3,0,2
132,Cerámica Indígena,19,Arte,34,4,2,0,0
133,Cerámica Indígena,10,Cultura,15,3,2,1,2
134,Cerámica Indígena,18,Historia,47,6,2,2,0
135,Cerámica Indígena,7,Arte,58,5,2,0,1
136,Cerámica Indígena,16,Historia,30,6,2,2,2
137,Cerámica Indígena,12,Historia,50,3,2,2,0
138,Arte Moderno,19,Cultura,55,1,1,1,1
139,Arquitectura Antigua,16,Cultura,15,5,0,1,2
140,Arquitectura Antigua,4,Cultura,25,4,0,1,2
141,Escultura Religiosa,17,Arte,26,4,3,0,2
142,Cerámica Indígena,9,Arte,42,4,2,0,0
143,Escultura Religiosa,9,Arte,64,4,3,0,1
144,Fotografía Histórica,6,Historia,50,3,4,2,0
145,Arquitectura Antigua,18,Historia,47,5,0,2,0
146,Fotografía Histórica,14,Historia,27,6,4,2,2
147,Arte Moderno,7,Arte,65,5,1,0,1
148,Pintura Colonial,3,Arte,44,2,5,0,0
149,Arte Moderno,14,Historia,69,1,1,2,1
150,Arquitectura Antigua,2,Arte,46,1,0,0,0
151,Arte Moderno,18,Historia,47,2,1,2,0
152,Pintura Colonial,4,Cultura,15,5,5,1,2
153,Arquitectura Antigua,18,Historia,45,5,0,2,0
154,Arquitectura Antigua,4,Historia,37,5,0,2,0
155,Cerámica Indígena,6,Arte,24,3,2,0,2
156,Pintura Colonial,15,Historia,60,1,5,2,1
157,Arte Moderno,14,Historia,18,6,1,2,2
158,Pintura Colonial,18,Arte,42,2,5,0,0
159,Escultura Religiosa,3,Arte,68,3,3,0,1
160,Arte Moderno,19,Historia,68,4,1,2,1
161,Cerámica Indígena,18,Cultura,61,5,2,1,1
162,Cerámica Indígena,15,Arte,25,3,2,0,2
163,Arquitectura Antigua,3,Arte,64,2,0,0,1
164,Escultura Religiosa,16,Cultura,65,2,3,1,1
165,Fotografía Histórica,7,Historia,38,4,4,2,0
166,Arquitectura Antigua,11,Cultura,31,5,0,1,2
167,Cerámica Indígena,5,Arte,31,2,2,0,2
168,Pintura Colonial,6,Arte,20,5,5,0,2
169,Escultura Religiosa,14,Arte,57,3,3,0,1
170,Arte Moderno,16,Historia,37,3,1,2,0
171,Arquitectura Antigua,17,Historia,17,3,0,2,2
172,Arte Moderno,19,Historia,65,3,1,2,1
173,Cerámica Indígena,6,Arte,42,2,2,0,0
174,Cerámica Indígena,7,Historia,19,1,2,2,2
175,Fotografía Histórica,15,Arte,63,6,4,0,1
176,Escultura Religiosa,14,Cultura,23,2,3,1,2
177,Pintura Colonial,16,Historia,36,6,5,2,0
178,Arte Moderno,17,Historia,31,2,1,2,2
179,Fotografía Histórica,2,Historia,49,5,4,2,0
180,Fotografía Histórica,16,Cultura,36,6,4,1,0
181,Escultura Religiosa,15,Arte,59,2,3,0,1
182,Arquitectura Antigua,8,Cultura,61,6,0,1,1
183,Arte Moderno,16,Historia,32,2,1,2,2
184,Arquitectura Antigua,4,Cultura,29,1,0,1,2
185,Cerámica Indígena,11,Cultura,31,6,2,1,2
186,Escultura Religiosa,13,Historia,31,5,3,2,2
187,Fotografía Histórica,5,Arte,17,1,4,0,2
188,Cerámica Indígena,19,Cultura,50,6,2,1,0
189,Escultura Religiosa,16,Historia,58,3,3,2,1
190,Escultura Religiosa,10,Historia,20,4,3,2,2
191,Escultura Religiosa,3,Cultura,59,6,3,1,1
192,Cerámica Indígena,2,Historia,36,5,2,2,0
193,Arquitectura Antigua,7,Cultura,62,4,0,1,1
